0	1
joy	"At the moment when I heard the result of an examination and it  
proved that I succeeded the second year of my study."
sadness	After my father died suddenly of a heart attack.
joy	@stackee Charlie attempted to suffocate me with a cushion for cheering so much at the great news 😂😂
joy	While I was walking, a little boy in a red shirt(5/6 years of age) shouting from a distance of 3 meters, in a jovial manner saying...
sadness	[ When I am, in my opinion, not understood correctly. ]
sadness	When I read a lot and did not remember anything.
sadness	My prayers are with the family, friends &amp; members of @VCFD  as you mourn the loss of Engineer Ryan Osler. #LODD #RIP
anger	why are people so offended by kendall he ends photo shoot like seriously shut the fuck up
joy	"I got my driving licence after they had frightened me with it's  
difficulty."
joy	@XenoStateOfMind yes\n\nmake her smile and be happy\nshe deserves happiness
fear	I have a job interview with @BarclaysUK in Loughborough next month #nervous!!!
fear	On the way down a ski slope which was difficult and steep.
sadness	"When a close relative of mine passed away, it was the first time  
that someone so close to me had died."
sadness	"When my grandmother after staying with us for awhile went back  
home."
sadness	Shoutout to the drunk man on the bus who pissed in a bottle and on the seats #grim
fear	"When I went home and there was nobody, I waited till 2 A.M and       
still nobody.  I was suddenly scared and anxious as this had never  
happened before.  In addition my mother was very weak and I  
feared that she had met with an accident.  Therefore I was anxious   
all night."
sadness	"When my grandmother, who has been living with us for 14 years,  
had a stroke and was left paralysed on one side. She has been  
quite close to our family and to see her suffer in this way makes  
me feel really sad."
joy	Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday  #eatcake
fear	"When I went to town in a double dekker bus.  The bus was about to  
fall on the way when the driver controlled it.  It had almost  
fallen."
joy	"I had a very close friend who went to Canada after her F.B, his   
departure was unavoidable.  When he came back during the Summer  
holidays I was very happy as nothing had changed between us."
fear	"When I was cycling past a parked car someone opened the door and  
nearly pushed me off my bike and into the traffic."
sadness	I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged
sadness	"When I think about the short time that we live and relate it to  
the periods of my life when I think that I did not use this  
short time."
joy	Only Geo is capable of cheering me up❤️❤️❤️
joy	Hear my name on the list attending the English lectures.
joy	@simmy_hanley @Schrise also a #delight
sadness	Way too cool to die young, way too young to die sober.. #tunechi
joy	"Being reunited with my family after not having seen them for 5  
years, at the airport. Sheer elation at getting through the  
""paper work"" collecting bags and the anticipation of coming  
through the customs gate."
joy	"Joy of giving birth, and of sharing that joy with my husband.  
Moments of complete happiness and feelings of so much love."
sadness	"Watching a football game. This remindes me of the time when my  
father was still alive and when we watched football games on TV  
together."
fear	So going to local news immediately after #DesignatedSurvivor turns out to be a smooth transition. 'Chaos! A raging fire!...' #media #fear
sadness	"At end of school - function to ""celebrate"" ? Leaving friends who  
I'd known for up to 12 years."
joy	Getting the top price in the football pools.
anger	Fuming with @StagecoachSE always awful customer service given. #fuming #angry #shitservice
anger	"Your prejudice against psychology students and education students  
(not allowing us to go to the medical university lectures)."
sadness	watching this uni reveal is so depressing i miss stingrays :(
fear	Having a car accident.
fear	"Taking a trip to crocokile country I fell out of the boat and was  
motivated by fear of being eaten to perform great swimming feats."
anger	"During an argument between friends, one of them accused me of  
taking advantage of some other friends who usually come to the  
university in my car, saying that I ask them too much money for  
the petrol."
anger	"New Year's Eve party in the country, I hardly knew a person; my  
partner spent most of the time at the bar. I had little  
opportunity to get to know people because our table was separated  
and my boyfriend's parents were present."
sadness	i cant live anymore my roblox got termianted :(((((((((((((((((((((((( #sad #killme #lol #robloxgamer
anger	I am furious. It is nearly 1pm and we still haven't signed another player. #getyourchequebookoutchairman
fear	@KeithOlbermann  'out of his motherfucking mind'.... don't think anyone could say it any better. #terrifying #biggestcrybabyinhistory
fear	"When I saw the movie ""Poltergist""."
joy	I love how cheery and adoring @JackHoward gets every time he produces new content.
sadness	So when I try I fail... and when I don't try... I still fail... #confused and #lost
fear	sometimes I think I'm just #afraid as a person
fear	"Last night, I dreamt that things that looked like monsters were  
trying to kiss me."
anger	"A friend of mine played a joke on another friend over the  
telephone.  This friend, crying, called me and I got very angry  
and made the other person apologize."
joy	A close married friend has just had his first child.
sadness	"When I went to see the dead body of my uncle.  This was a very  
dramatic expreience as it was the first time that I entered a  
mortuary."
anger	I hate you.\nI want to know how you feel about me though. Because I want you to like me so I can break you.\n#darkerside #revenge #wasteoftime
fear	"It was not long ago when I and two of friends of mine got quite drunk  
and one of them began to rave under the influence of the alcohol.  
I felt fear of what could have happened."
fear	@p4pictures it would be great but what if the card crashes 😱. It's happened to me twice 
fear	"I had a very horrible dream one night, I dreamt that I had fallen  
off a very crowded train."
anger	"Recently when my sister, who is four years younger than me and  
very spoiled, shouted at my mother for no apparent reason .  The  
heart-broken expression on my mother's face made me feel very  
angry."
joy	"When I was pressing figures on the curtain cloth. I had bought  
the cloth after months of hindrances."
fear	@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.
fear	My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. 🙅🏽😳
joy	her fingers slide along your thighs, caressing the skin before she's leaning down, down, down and the first lick is teasing n playful.
anger	I saw a report on T.V news on apartheid in South Africa. 
sadness	"When I heard of the death of a friend who had just finished her  
training I felt very sad for she was young."
sadness	When my best friend died, at the age of 16.
fear	@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain, #anxiety #iamkratom
fear	"I was watching a procession during the Holy week, and a penitent  
approached me."
fear	At the dentist's, waiting for my turn to come.
fear	I walked 3.4 miles today, the most I've walked since I got #rhabdo. Going back to work tomorrow.. here's to hoping it goes okay #nervous
joy	Drawing mini-comics is joyful; folding mini-comics is meditative and relaxing. I think I need to do them for more than just Halloween...
anger	I kicked the chair in the classroom to express my anger.
sadness	@HutchinsonDave I don't know whether to despair or agitate for a cull.
joy	"I was coming home from an exam and I supposed that I had  
passed it so I ran to a restaurant for a beer."
fear	@jayteemuro Man people wont mourn the 9 chaps beheaded by terrorists. But they will mourn a corrupt killer politician
anger	"I felt anger when I had a fight with my father, and he beated me.  
My mother came to help me (because I was beeing beated) and he  
also beated my mother."
fear	"When I think of death - not my own but that of my parents,  
brothers and sisters."
fear	When I was left alone at home one night by my brother.
fear	"As a child (i.e. 5-7) hiking in reasonably rugged bush and  
becoming lost for a duration of 5-7 hours."
fear	"I wandered by mistake into the safety zone of a shooting range,  
and was shot at."
fear	"Once I spent a night with a friend at the secondary school. We  
told each other horror stories and suddenly we heard uncanny  
noises. I was terribly frightened."
anger	@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines  #con!
fear	"My brother and I were driving to Brisbane when he drove back onto  
the road, perhaps cutting off another car but not noticeable -  
this driver did his best to drive us off the road for about 1/2  
an hour."
sadness	When my girlfriend left me.
anger	I got a NO RESPONSE again from an #irate customer of #amazon 😞😞\nwhy can't they understand that it's not always amazon fault..\n#carrierfault
anger	"In September 1984, I was forced to live with someone I did not  
like.  The first week we were at loggerheads and our conversation  
was like a debate.  The atmosphere was very bad.  When he learnt  
that I had got 95 marks in a test he told me "" A failure, You lost  
5 marks.""   I was very angry, not because my marks were lower  
than his, but because I could not tolerate his pride.  I did not  
show my discontentment and carried on doing my work."
anger	"When a person the same age as me insisted that I call him  
""Mister"".  I refused to succumb, but he persisted and I got angry  
as he had belittled me."
anger	@thekillers #killerspresale - How is it fair that people have bought multiple tickets and are re-selling them at twice the price? #angry
joy	"After a long time (of no communication with him, physical  
illness and worry) my lover came to see me, when I least expected  
to see him."
anger	"When I discovered that the people I trusted most were talking  
behind my back."
anger	smh customers getting angry at me bc i aint got no marlboro lights in the gas hut. i called them in 2 hours ago, fuck you.
fear	"When I was a child I hid under the sheets out of fear of  
darkness."
anger	I got fever highs\nI got boiling blood
fear	"When my exboyfriend threw me around the dorms because I was  
talking on the phone to another guy of whom he was jealous,  
after we had an argument in which I thought we broke up."
joy	"When I passed my driving test, as it was the fifth time that I  
had taken this test."
anger	Few things more frustrating that organisations who don't have media contact numbers and request you 'fill out our online form' #rage
sadness	Saying goodbye to a friend.
sadness	"When I found out that I could not go to the concert (after buying  
the tickets) because of a biology test which occurred the morning  
after."
sadness	"Alone I am coming back home in the night after the serial  
""explanation""."
anger	"When a friend tried to back bite me on false grounds.  This made  
me wonder if he was a really a good friend."
sadness	@AerLingus #business class #Los Angeles to Dublin #destroyed luggage #60 day customer response time #unhappy customer
sadness	"One of my relatives became seriously ill. I felt sad because I  
didn't know if she will ever be the same again."
fear	When going to the exam.
anger	A girl I was with went off with another guy.
fear	"The house was on fire, and I was saved by the dog. I am afraid of  
the fire, verging on panic."
fear	I'm also wheezing really hard. I decided to make up today, and then after I got to work realized it was mbbsd, and now I'm #intimidated
sadness	"I was together with my family one night, a few days after my  
father had died, during that conversation I expressed my  
displeasure because nobody understands me."
joy	"When finally I found a place to live, I felt relieved, predicting  
changes in my life, and I became happy."
joy	#ukedchat A4 Just go outside (or to the gym hall) and play! \n #education  #learning
anger	"I was badly beaten up by one of my friends during a wedding  
party."
joy	"One night I had a very good conversation with two friends. I then  
realized how worthy they were for me and how happy I was to  
have them as friends."
joy	When I got a record as a gift from a friend.
sadness	"One of my class-mates had a disease unexpectedly, he had been in  
a coma for six days in a hospital before he died."
anger	"My friend often played a joke on me and sometimes I thought that  
he was a nonsensical person. Once when we went to a friend's  
house he walked in first and shut the door firmly behind him.  I  
felt that he did not respect me and moreover I was his friend so  
he should not have behaved like that.  I was very angry (as it is  
I was in a bad mood then)."
anger	Finding out that I was deceived by a friend.
fear	I felt the microphone, and haunt.
anger	@thequippster Okay but like why haven't you told me about this yet? 
sadness	@yourKarma Reaching out AGAIN in hope to contact over the technical issues I am having. Your CS is severely lacking. #badkarma #unhappy
sadness	"Saying goodbye at the airport to my boyfriend who has to go to  
school back East. We are very close and have been together 4  
years."
anger	"When I heard that an acquaintance of mine was spreading rumours  
about my affair with a close friend."
sadness	its so unfortunate that after all these years im still struggling with depression smh
joy	"I was going to my village, after having been rather oppressed in  
Madrid. "
fear	Starting to get butterflies in our tummies about tomorrow...who will win?! #nervous @IPMCOGSAwards
sadness	"My elder sister whom I love very much was leaving for the           
West Indies for two years and I was staying behind."
joy	"My father stayed abroad for one year. He does not like to write  
letters because he makes ortographic mistakes. I never had a good  
relation to him. He wrote me a letter in which he said that he  
loved me."
anger	"When a professor of this faculty laughed at, and was suspicious of  
a composition written by a class-mate and me."
sadness	"When summer is over and I have to leave the town where I spend my  
holidays."
sadness	"Listening and watching a tape of someone with AIDS being  
prejudiced against at a counselling course on AIDS with 20  
others."
anger	"When I was doing my last year at Secondary School I was robbed of  
my clothes, wristwatch and my pair of shoes. After investigations  
it was found that all the things were stolen by one of the boys  
in our hostel."
sadness	"I have been thinking of changing my major for a few months.  My  
original major was Chinese language and it blocks my way.  I have  
to face many problems at the sametime and I do not know what is  
real and virtuous.  I do not know if I am not interested in  
Chinese or if there are other factors which make me sad.  I am  
not very clear on what I can do for the study of Communication  
and Journalism.  I am not clear about what I can do.  What are  
the limitations ?   I hesitate but I feel more adjusted now."
joy	Hearing your parent say they're proud of you elicits infinite waves of unconceivable glee.
joy	Watch this amazing live.ly broadcast by @footballrocks123456 #lively #musically
fear	"I was living with my brother and one day he went away on business  
and I was left alone to look after the house and the property. At  
night thieves came and wanted to break into the house."
anger	"Friend (male) hinted that my talking to other men at a pub was  
immoral. He implied that I should remain only with my boyfriend  
the entire evening."
anger	"When I tried to breake it up with my boyfriend, and he refused to  
let me go."
anger	"[ When bad and disgusting language is uttered by people, or when  
someone tries to show what is beyond his own capacities.]"
anger	"Last night - finding that someone in the house had eaten an  
entire packet of almonds I had bought for a family treat."
sadness	@fpuebla3 @Osbaldo_A lost a friend too
sadness	"I met some nice people during my holdidays. When they left I knew  
that I would never see them again."
joy	When my sister was born.
anger	"Someone told me that I was chosen for English lectures because  
the class leader is going out with me (not true)."
anger	"The surname of my brother was different from ours.  He often  
grinned at home and provoked others for the pleasure of it.  This  
made me angry."
anger	"A few days back a friend of mine poked me in the ribs for fun's  
sake, though I had warned him an infinite number of times that it  
really hurts me, he did it again.  I usually ignore this but this  
time I flared up for a split second and threatened to bash him  
up.  This is the latest incident when I lost my temper, though I  
felt very bad about it later."
fear	"This was what I felt when my boyfriend went to Bourgas to study  
there. I had the feeling I would lose him. Anyway the distance  
Plovdiv-Bourgas seemed to me so great."
anger	@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery?   #rage. #iphonePhoneHome
sadness	When my grandmother died of cancer.
fear	I had a dream in which I was an African elephant.
anger	"This was the worst incident of my hostel life.  I was insulted by  
a close friend of mine on the eve of the New year and it totally  
spoiled my New year's night."
anger	Being treated unfairly.
fear	"While preparing my master's thesis, I was scared that I would not  
accomplish anything as the subject was rather difficult."
sadness	"Girl I was fond of did not initiate conversation as I expected in  
tutorial."
joy	"When I got admission in M.Sc (I) Organic Chemistry, I was very  
happy."
joy	"When they phoned me from Great-Britain to tell me that I could go  
there, if I wished, in Summer."
fear	@sphiwememela...its bad.I am fearing for my life🙏
joy	Watch this amazing live.ly broadcast by @flydudern  #musically
anger	@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR
sadness	Right i may be an #sufc fan and the football maybe shit but marcos rojo for #mufc has had a shocking start he's just dreadful
sadness	"When my mum's brother passed away after having been involved in a  
car accident.   He was bringing me a present as I had passed my  
form five exams with flying colours."
anger	"Someone signed up for a workshift at the co-op where I live and  
she did not want to work the switchboard. I became very angry.  
She had mentioned earlier that she wanted and needed the  
workshift to me so I did not sign up."
sadness	"A few months a close relative of mine died.  I had never expected  
this to happen and was sad for a few months."
sadness	"When we decided, my boyfriend and I, that we would separate, I  
realized that he would have wanted to continue our relationship  
and the coming separation hurt him."
joy	When they told me that I had got a study grant.
sadness	"Estrangement from my best woman friend.  We have been going  
different ways for quite some time now, but the break was total  
when she got married as her husband is unreasonably jealous of me."
fear	"I was in Sierra Nevada, climbing a peak over 3,000 metres high,  
without any light and with many other problems.  I was afraid for  
my life."
sadness	"When I watched the T.V programme called ""The living planet"" and  
saw the far reaching environmental destruction caused by man."
anger	"When you kill yourself with work and see the number of slakers  
wandering around, doing nothing."
joy	When  fell in love with my present girlfriend.
fear	Fear of sexual overtures from a close relative in the family.
joy	I'm a cheery ghost.
anger	"Deliberately provoked by someone close. Angered by the  
deliberation not the provocation."
anger	"Argument with roommate over a lock he had put on kitchen cupboard  
without telling anyone."
fear	"Climbing a mountain to see a view, towards the top we suddenly  
came across a ledge with a nearly sheer drop on either side,  
which I had to cross."
joy	"When I was appointed by the Ministry of health to join the  
teaching staff of one of the medical colleges."
anger	"It was when I discovered that my boyfriend had another girl. I  
discovered it through a letter he wrote to the girl when he was  
away. When I asked him he accepted it."
joy	I unexpectedly got a present from my father.
anger	"When we were in high school a few guys sometimes provoked a  
friend of mine.  They called her a pig and then grunted.  This  
irritated most of the girls.  Once, one of the girls got angry at  
my friend and said something nasty and this made me terribly  
angry."
sadness	"Death of paternal grandmother to whom I was very close - died of  
cancer."
sadness	"A few years ago my mother suffered from canccer and died within  
two years.  We had not finished our studies then and could not  
bear our responsibilities as her children.  My mother had tried  
her best to take care of us but she lived in pain these two  
years.  Neither the doctor nor we could do anything for her as  
cancer is incurable.  I was very eager to replace her in  
suffernig , even die instead of her."
sadness	@charles_gaba No, I am probably the person most likely to completely understand how gobsmacked you were to learn how true that is. #sadly
sadness	"Watching ""11 am"". They had a programme on the starving refugees.  
Their plight was a source of sadness for me."
joy	Getting my accentance letter from CAL. 
anger	"I was angry at my boyfriend who had promised to come to see me  
but did not because he spent the evening with his pals."
joy	Succeeding in helping others.
joy	"When a friend of mine had her period, while thinking she was  
pregnant."
fear	"During one year my mother almost had a nervous breakdown and my  
father had a serious operation. I was afraid that our family (4  
kids, I'm the oldest) wouldn't hold together. Everything turned  
out fine."
joy	@Tjsotomayor snow pig,  that's hilarious. Lmaooo
sadness	The death of my grandmother.
anger	"I share my small flat with my friend. On her birthday we could  
not see each other until evening because we had to stay at the  
University all day. In the evening I left a lecture before it  
finished to be able to buy flowers for her. When I was at home  
she called me to tell me that she would stay the night with her  
boyfriend."
fear	I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 #nightmare
sadness	"When one of my closest friends failed to make it to the third  
year of university."
fear	@MrsCassonC @15_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD?  #creepy #EnoughIsEnough
sadness	"When I realized that my girlfriend, whom I like, and I were going  
to separate."
anger	"I was sleeping nicely until in the middle of the night when I became  
awake because a friend called me for some (in my opinion)  
nonsens reason."
anger	"When talking with my sister, she often ventilates prejudices,  
which my father also adheres."
sadness	"After training for an Australian championship competition for a  
year and then injuring myself 2 weeks before the competiotion."
anger	When I was locked out of my room by my room-mate's friend.
joy	"When I received the results from my final examination - Higher  
School Certificate - and received a mark that was beyond my  
wildest expectations."
joy	"Seeing a close friend who had just returned from twelve months  
overseas."
fear	"When I heard that my father had found a letter from my boyfriend  
and he was calling me to talk about it."
anger	"My family told me to leave if I was not willing to accept the  
conditions they imposed on me."
anger	"At the weekend I wanted to be absent from school because of a  
sports event, but my teacher refused to give me the day off  
because he didn't like me."
sadness	"I felt very sad when I lost my three Kwacha at civo Stadium when  
Sam Mangwana was playing some Rumba records. That was not what I  
expected, I wanted some Disco records."
anger	Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming
sadness	"Talking to a very good friend who had just had a very bad  
experience which was changing his whole way of looking at life  
etc."
joy	"Girlfriend arriving back from overseas and picking her up from  
airport. When she finally appeared from customs and we came in  
contact again."
joy	@LindseySanford @simplymeasured this makes me giggle with glee!
anger	@MintMilana where is the outrage when black children get killed in the crossfire between blacks shooting each other?
sadness	@laureeenwillam can't cope wi her sour face and tiny pout 😡😡
sadness	"Two years ago my best friend died in an accident, just a day  
before my birthray.  We were very close to each other and I felt  
very sad at loosing a close friend."
sadness	im so gloomy today
sadness	After an exam which I failed.
sadness	When my grandfather died.
fear	"I had fear when I was left alone at the bus depot at night. I had  
problems of how to move to this place."
sadness	"My elder sister scolded me in front of my younger sisters and  
cousins.  She said that I was very lazy and I felt so sad that I  
cried myself to sleep."
sadness	When I came back from my holidays.
fear	"Almost crashing my car, something which could have led to great  
problems."
fear	Listening to horrot stories at night.
sadness	When my basket ball team lost the qualification at a final.
joy	🔥💁🏼- its lit having a class with you!!! Your such a great person and good at cheer!!
anger	How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door.  #mad ##
joy	When I was accepted at UNZA.
joy	@Bluebelle89 @lsmith855 liking the optimism
anger	"I came out of the house at 7:20 am Monday morning getting ready t  
go to school and fight for a parking when I saw my car had a flat  
tire."
anger	Someone told a lie that I had stolen his money.
fear	"Once, before I had learnt to swim, I stepped on a slippery slope  
where there was a lot of moss and I slipped into the water.  The  
water was very deep and I could not stand on my feet.  I sank  
and had to use a lot of energy."
fear	"I was asked to join my friend in a boat at Mangochi Lake Malawi  
and when making a turn, it seemed as if the boat would sink on  
the side."
fear	"My friend had been telling me about a certain bird which when it  
cries at night it's the sign that someone will die. So one night I  
was alone in the house and I heard the cry of the bird and I was  
afraid."
joy	"When I was told that I was selected to attend Medical Assistant  
Training."
joy	A #smile brightens your day and the day of everyone around you, so remember to #smile, it's #free. :-)
anger	@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed
sadness	I was sad to hear that my brother had a motorbike accident.
joy	When I recently got an appartment in central Gottenburg.
sadness	"When I learned that my dad had cancer. I knew he was going to the  
hospital for some tests. My mom told me when she picked me up one  
weekend from CAL to take me home."
fear	When my B.A results had not come.
anger	All hell is breaking loose in Charlotte. #CharlotteProtest #anger #looting
sadness	Only God knows why things happen, sometimes it's just hard to understand. #sad #prayingforyou
joy	"I was overwhelmed with joy when I received the acceptance letter  
to UNZA.  This happened again when I passed all my first year  
courses."
fear	"Last Summer in Italy I was attacked by a dog.It was terrible to  
feel that untidy dirty dog against my naked skin."
anger	"Disagreements with mother.  When I moved from KankaanpSS, she had  
promised to help me move but broke her promise because of some  
hindrance. "
sadness	"The long lasting illness of my grand-mother, and the changes in  
family relationships caused by it."
anger	"I had just seen my pseudo-girlfriend and our conversation angered  
me greatly."
joy	"I took a math midterm and I knew I did really well and it was  
Friday so I felt great joy because the week was over and I did  
well on a test."
fear	I felt it when I sat for my exam in anatomy.
sadness	My father died last year after an 8-week severe illness.
sadness	Had to give up on The Blue Guitar, couldn't stand main character. Sort of skim-read to the end which got grim and unsettling . . . 1/2
joy	"I felt joy when I heard that I was accepted for the Free  
University in Driebergen."
joy	I went to visit friends and it was very companionable.
fear	Staying alone in the biology building after the dark.
sadness	@Meruna_  as a musician, I can tell you that more people get discouraged when learning because of shitty instruments than anything else.
anger	"I read in the newspaper that the Student Lodging Fund was going  
to build new appartments for refugees (in my opinion this is the  
state's affair).  This is when only a fractoin of the students  
can find an appartment."
joy	@ChrisBooker @ThePerezHilton On PHP54  and though the Kardashian stuff goes over my head, you're both hilarious, like gleeful little boys 😂😂
anger	"One day I was really angry when all my food was eaten by a dog.  
My anger was against my mother because she was careless. She  
didn't keep the food in a hidden and proper place."
fear	"One night, I was alone at home.  My fear was caused by some  
strange noises which put my imagination to work."
anger	"At a certain situation I felt myself neglected and undeservedly  
harmed."
anger	@n_umira omg why ☹
sadness	When out of work.
joy	"After my marriage I received the B.Sc results by post, I was very  
happy to learn that I had got very good marks - first class."
fear	"The time I was threatened with expulsion from secondary school (form  
four)."
sadness	When my grandmother died. I had lived with her for ten years.
sadness	"When I left all my friends at school (break up) knowing we would  
probably all go our separate ways, and none see one another for a  
long time."
fear	[ While approaching to test the situation.]
joy	"I sensed this feeling when I passed successfully the second tour  
of a competition."
fear	"I was walking in the countryside alone when I came across two  
dogs who began barking at me.  I did not know whether they were  
tied up or loose, but I was afraid of them approaching me."
joy	I got a fairly large amount of my taxes back.
joy	@IreneEstry can't wait to see you Hun #cuddles #gossip 
anger	I can't even right now #bb18 #rage
joy	"I am not especially good at English, and after the high school  
graduation exam in English I tensely waited for the result the  
whole day.  In the evening, when I heard that I had done  
excellently, I became very happy and the anxiety vanished.  My  
family was at home."
joy	Watch this amazing live.ly broadcast by @evanhufferd #lively #musically
joy	@RealestCastiel just sitting close to him for an extended period of time was exhilarating because he's so beautiful and lively lol
fear	"When I was an exploration with my friends and almost got lost in  
an unfamiliar environment.  It was getting dark and we did not  
know how to get back home."
fear	Shame on you @SkyNews showing an elephant being hunted and killed, 
fear	"I felt afraid when I smoked maryhuana for the first time in my  
life with a lot of friends in the middle of the street at day  
brake."
fear	When mother was very ill, I feared that she would die.
sadness	"At a lack of love of my father for my mum, sadness for him more  
than anyone else because he does not realise how much love and  
happiness there could be between them, and is, and how much he is  
damaging himself apart from mum."
fear	"I was afraid of moving away from home and moving to Helsinki for  
my studies."
anger	"When I did not find the rack used for beating up rugs, in the  
yard."
anger	"A few months ago when I was teaching, I suddenly became very  
angry at the children and slapped some of them."
sadness	"When one of my best friends commited siucide during these  
holidays."
anger	Who the hell is drilling outside my house?! Literally got to sleep at half four after a busy shift and these twats have woken me up 
anger	"When fired unjustly from a job as casual bar-person. Charged with  
giving away free drinks. Not done so and had witnesses to prove  
it - both patrons and bar staff. Other staff were supportive."
joy	Being a veteran just totally got me out of a ticket. I'm elated right now, close call.
sadness	as a very depressed and suicidal person seeing someone sing about their own depressing life yet having fun is very relatable and encouraging
sadness	"I am a Christian but I cannot find any meaning in life . It  
seems that I am deceiving myself but I cannot find the way out."
anger	My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱
sadness	"The holidays come to an end, and the next day we had to go back  
to University and to the exams."
fear	"I was on the Inter Rail in Naples alone. After an evening in a  
restaurant I was going back to the hotel when a prostitute  
approached me to sell herself. I refused but as I carried on  
walking I felt that I was being followed by someone."
fear	"Thinking of the unknown, what happens at the moment of death,  
etc."
sadness	"I had asked the teacher to write a recommendation letter for me,  
but I had not provided enough information and had run short of  
time."
sadness	"When I realized that I did not have the basic things needed by a  
student like me."
anger	"Attitude to some manners of dealing and some ""sanctioned""  
relations."
fear	Walking on a dark street with noone around.
anger	"Anger at doctors for their treatment of me after giving birth.  
They left part of placenta behind and I bled heavily for twelve  
weeks - due to this, I felt weak and emotional, and they said I  
needed psychiatric treatment and give me no support."
joy	Got in touch with earlier friends after a long absence.
joy	Watching China winning the Asian Olympic games.
anger	"A person I trusted a lot gave me many false explanations to  
justify a wrong action."
anger	"One winter day I, unwillingly, was outdoors with my younger  
brother (10 years younger than me).  I lost my temper on him and  
wanted to throw my brother down the snow bank we were on.  I  
pushed him but not as hard as I had wanted to. We were alone the  
two of us."
joy	"Last year I went to see friends in Yugoslavia - two girls with  
whom I get along very well."
joy	"When the Cambridge results came out and I obtained a first  
division.  I had been thinking that I had not done very well."
anger	"Once I had an argument with my friends and I knew that I was  
right.  My friends went on arguing with me even though they did  
not know the right thing."
anger	"There was a cup final match between Limbe Leaf Wanderers and  
Silver Strikers and someone promised to give me some money for  
admission fee to watch this game. Unfortunately he did not give  
me."
sadness	When felt lonely about writing my family.
sadness	Heard about someone telling lies about me to my best friend.
fear	"[ I have always been very scared and tense before an exam and  
before the declaration of the results.]"
fear	"I was river rafting in Nev. and our boat tipped over and I was  
sucked under in to some rocks and got stuck and all I could think  
was that I was going to die. And it was so quiet under the water  
it seemed like no one would care or remember."
sadness	After an operation I had to stay in bed for a long time.
anger	"Sometime back another girl who was in terms with my ex-boyfriend  
came to shout at me at twelve midnight. It was because she  
thought I was still interested in the boy."
fear	Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people? #anxiety #recluse  #issues
joy	@Dubai92 try asking for a cheeseburger with only onion &amp; mustard at any #McDonalds #hilarious
fear	Sector71-78 area is all full of #Immigrant #bangladeshi they are a #threat to us\nthey #steal #Rape #Kill #bully \n#SaveHindusInHindustan
fear	"I was afraid to walk through the forest one day when I dropped  
off the bus around 6.30 pm."
anger	"I experience this emotion quite often but the day I was most  
angry was the day I got pulled up for something I had not done.   
It happened during my school days, I had not spoken a word in  
class but the monitor had written my name on the board.  So I  
had a remark in my callender which I had to get signed by my  
parents.  This remark resulted in me being spanked."
sadness	"When a close friend, residing in the hostel, lost his father I  
really pittied him and the situation made me feel sad."
anger	@virginmedia I've been disconnected whilst on holiday 😤 but I don't move house until the 1st October 🤔 #furious
joy	Getting into this university to do medicine.
anger	@_mxthew I said that once and my pals ripped me a new arsehole 😊
sadness	We had to finish the life of our 8 year-old dog.
anger	"I experienced anger most recently when I had committed a sin  
which I had gone a week and a half without doing. I had made a  
vow to God and had blown it. Now I had to start all over."
fear	Before important sports events.
fear	When I decided to separate from my husband.
anger	"When my room-mates were watching video-tapes and prevented me  
from watching the news.  The first feeling I had was that I was  
being treated unfairly and then came the feeling of anger."
fear	"My sister had to undergo a very complicated operation, her  
eyesight was at stake."
anger	"This situation keeps occurring - when my little sister disagrees  
with me or vice-versa. We have very similar temperaments and I  
always end up feeling angry at her and myself for fighting so  
much over unimportant trivial matters."
fear	"When I drove to Stockholm for the first time and drove off the  
Stora Hissingen road at the wrong exit."
anger	"This also happened when I was very small.  I was beaten up by my   
mother for no fault of mine, I had just beaten up my younger  
brother for what I thought was his fault.  I was very angry with  
my mother."
fear	"When I lost a wallet while travelling, since it belonged to the  
group I was very afraid."
fear	When you just want all the attention #cantsleep #nervous
fear	First day back on the job.
joy	"I was feeling really low - had been a series of fights with my  
siblings, been under pressure at school and wasn't going to the  
party I wanted to go - instead I was going out with my family. A  
guy called and said, in effect, that I was ""nice"" and he liked  
me. Hence the emotional joy."
anger	"It happened in a tram: some older people started to grumble about  
the young people just because I had not immediately left my seat  
to them."
sadness	We have left #Maine. #sadness
